Reviews,Positive,Negative,Neutral,New sentiments
awesome phone 📱,0.804,0.0,0.196,positive
smooth 🔥,0.0,0.0,1.0,neutral
absolutely gorgeous 😻,0.811,0.0,0.189,positive
wowwww ❤️,0.0,0.0,1.0,neutral
loved it👍🏻 great performance facing kind heating problem impressed battery performance,0.625,0.116,0.259,positive
good  first iphone good time get heat using camera,0.453,0.0,0.547,positive
value money,0.706,0.0,0.294,positive
awesome buy,0.804,0.0,0.196,positive
good product,0.744,0.0,0.256,positive
pic quality awesome,0.672,0.0,0.328,positive
best one apple💙,0.677,0.0,0.323,positive
find good except heating issue course type c charge cable heat like hell take noon time take photo heat else performance body shading issue hand feeling awesome,0.366,0.119,0.515,positive
loved 😍thank much ❤️,0.565,0.0,0.435,positive
awesome super,1.0,0.0,0.0,positive
awesome look feel,0.672,0.0,0.328,positive
handy,0.0,0.0,1.0,neutral
excellent phone 😎,0.787,0.0,0.213,positive
lovely product,0.792,0.0,0.208,positive
wowbuy,0.0,0.0,1.0,neutral
top class performance every aspect,0.31,0.0,0.69,positive
everything good battery drain fast,0.42,0.0,0.58,positive
camera quality top notch 👍,0.375,0.0,0.625,positive
yeah flipkart original product provide good phone 📱camera superb,0.697,0.0,0.303,positive
simply awesome 😍,0.804,0.0,0.196,positive
ok,1.0,0.0,0.0,positive
design could new,0.0,0.0,1.0,neutral
smooth nice phone thanks flipkart,0.655,0.0,0.345,positive
